"Support","R_support","D_support","Opposition","R_opposition","D_opposition","Question_length","yes_proportion","voting_eligable_pop","turnout"
889,4,0,653,0,3,128,0.571311385264657,7391000,0.493331484237586
889,4,0,653,0,3,128,0.571311385264657,7391000,0.493331484237586
6800,0,2,6871,61,22,130,0.465857078604122,1075000,0.56256
14378,9,6,6435,0,0,22,0.690559516690081,15645000,0.500522147651007
14378,9,6,6435,0,0,22,0.690559516690081,15645000,0.500522147651007
2461,0,1,1193,0,0,364,0.827968383626042,1369000,0.638313367421475
1751,0,0,724,5,0,91,0.689170570896029,15645000,0.502251070629594
1751,0,0,724,5,0,91,0.689170570896029,15645000,0.502251070629594
5404,0,2,6065,0,0,135,0.62661594724348,25946000,0.464469899021044
14378,9,6,6435,0,0,22,0.690559516690081,15645000,0.500522147651007
3059,3,21,166,0,0,1214,0.890633216403853,4303000,0.488789681617476
5181,6,1,1640,0,0,148,0.694136419575631,18581000,0.083307948980141
3059,3,21,166,0,0,1214,0.890633216403853,4303000,0.488789681617476
14378,9,6,6435,0,0,22,0.690559516690081,15645000,0.500522147651007
2743,0,0,2557,0,0,867,0.296200431079375,4200000,0.480079523809524
2776,2,9,3605,22,0,350,0.600337905635586,5075000,0.642147389162562
2792,34,34,1312,5,0,170,0.606438710926886,4200000,0.558149285714286
2463,0,0,2450,3,0,1477,0.5610500452948,3242000,0.466135410240592
1221,0,0,1615,0,0,773,0.315005792459901,4475000,0.534889162011173
2792,34,34,1312,5,0,170,0.606438710926886,4200000,0.558149285714286
9083,0,2,11814,5,0,3756,0.363501427283326,8740000,0.367230434782609
2319,0,3,3585,2,2,140,0.597481435082831,25946000,0.462340206582903
2319,0,3,3585,2,2,140,0.597481435082831,25946000,0.462340206582903
880,4,0,950,0,0,1274,0.412142492963588,2800000,0.533068928571429
9907,0,7,4148,4,0,127,0.813288004622517,25946000,0.231590534186387
3133,1,8,4366,6,0,391,0.463445263585054,4200000,0.37198619047619
670,0,0,141,0,0,422,0.719940497892634,1075000,0.318925581395349
829,4,2,562,1,1,566,0.463990993041447,4475000,0.53411217877095
3336,4,0,511,0,0,142,0.827393826777889,18581000,0.0831823367956515
9907,0,7,4148,4,0,127,0.813288004622517,25946000,0.231590534186387
829,4,2,562,1,1,566,0.463990993041447,4475000,0.53411217877095
3336,4,0,511,0,0,142,0.827393826777889,18581000,0.0831823367956515
1542,0,0,579,5,0,71,0.621336748708415,15645000,0.481495302013423
2773,1,3,1159,1,0,194,0.643510278048141,3299000,0.441925735071234
401,6,0,2505,0,0,320,0.611930248217893,2198000,0.431061874431301
